[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[17:17:37] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:17:37] 🟢 Training aktif (util=100%)
[17:18:37] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:18:37] 🟢 Training aktif (util=100%)
[17:19:39] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:19:39] 🟢 Training aktif (util=100%)
[17:20:40] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:20:40] 🟢 Training aktif (util=100%)
[17:21:40] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:21:40] 🟢 Training aktif (util=100%)
[17:22:41] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:22:41] 🟢 Training aktif (util=100%)
[17:23:42] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:23:42] 🟢 Training aktif (util=100%)
[17:24:42] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:24:42] 🟢 Training aktif (util=100%)
[17:25:44] GPU2: util=98% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:25:44] 🟢 Training aktif (util=98%)
[17:26:45] GPU2: util=98% mem=39867MiB free=5518MiB | nb84=3788MiB
[17:26:45] 🟢 Training aktif (util=98%)
[17:27:46] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:27:46] 🟢 Training aktif (util=100%)
[17:28:47] GPU2: util=98% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:28:47] 🟢 Training aktif (util=98%)
[17:29:48] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:29:48] 🟢 Training aktif (util=100%)
[17:30:48] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:30:48] 🟢 Training aktif (util=100%)
[17:31:50] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:31:50] 🟢 Training aktif (util=100%)
[17:32:50] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:32:50] 🟢 Training aktif (util=100%)
